source	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/bpt6k62709867.xml	Darmesteter, James (1849-1894)	1896	Nouvelles études anglaises / James Darmesteter ; avant-propos de Mme Mary James Darmesteter	http://gallica.bnf.fr/ark:/12148/bpt6k62709867	C. Lévy (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6272545j.xml	Commynes, Philippe de (1447-1511)	1896	Les chroniqueurs français du moyen âge, Villehardouin, Joinville, Froissart, Commines : nouveaux extraits... / précédés d'une introduction sur les origines de l'histoire de France et sur les... travaux de la philologie moderne, avec des notices biographiques, des appréciations littéraires et un commentaire grammatical des textes par M. Charles Aubertin,...	http://gallica.bnf.fr/ark:/12148/bpt6k6272545j	Belin frères (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62734265.xml	Musset, Alfred de (1810-1857)	1927	Oeuvres complètes illustrées. 9 / Alfred de Musset ; illustrations de Charles Martin	http://gallica.bnf.fr/ark:/12148/bpt6k62734265	Librairie de France (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6274505n.xml	Daru, Pierre (1767-1829)	1817	Observations critiques sur l'ouvrage intitulé : “Le génie du christianisme” ; par M. de Chateaubriand . Pour faire suite au Tableau de la littérature française, par M. J. de Chénier	http://gallica.bnf.fr/ark:/12148/bpt6k6274505n	Maradan (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6276116p.xml	Pastoret, Emmanuel (1755-1840)	1869	Histoire littéraire de la France. T. XIV, suite du XIIe siècle / [par Dom Brial, Daunou, Ginguené et Pastoret. avec une notice sur M. Ginguené / par Amaury Duval] ; ouvrage commencé par des religieux Bénédictins de la Congrégation de Saint-Maur et continué par des membres de l'Académie royale des inscriptions et belles-lettres	http://gallica.bnf.fr/ark:/12148/bpt6k6276116p	V. Palmé (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62761885.xml	Doucet, Camille (1812-1895)	1886	Concours littéraires : rapports annuels 1875-1885 / par Camille Doucet,...	http://gallica.bnf.fr/ark:/12148/bpt6k62761885	C. Lévy (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6276575x.xml	Ampère, Jean-Jacques (1800-1864)	1867	Mélanges d'histoire littéraire et de littérature. Tome 2 / par J.-J. Ampère,... ; [publiés par Louis de Loménie]	http://gallica.bnf.fr/ark:/12148/bpt6k6276575x	Michel Lévy frères (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6276576b.xml	Ampère, Jean-Jacques (1800-1864)	1867	Mélanges d'histoire littéraire et de littérature. Tome 1 / par J.-J. Ampère,... ; [publiés par Louis de Loménie]	http://gallica.bnf.fr/ark:/12148/bpt6k6276576b	Michel Lévy frères (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62775542.xml	Féletz, Charles-Marie de (1767-1850)	1828	Mélanges de philosophie, d'histoire et de littérature. Tome 1 / , par M. Ch.-M. de Féletz,...	http://gallica.bnf.fr/ark:/12148/bpt6k62775542	Grimbert (-et Dorez) (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6277555g.xml	Féletz, Charles-Marie de (1767-1850)	1828	Mélanges de philosophie, d'histoire et de littérature. Tome 2 / , par M. Ch.-M. de Féletz,...	http://gallica.bnf.fr/ark:/12148/bpt6k6277555g	Grimbert (-et Dorez) (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6277556w.xml	Féletz, Charles-Marie de (1767-1850)	1828	Mélanges de philosophie, d'histoire et de littérature. Tome 3 / , par M. Ch.-M. de Féletz,...	http://gallica.bnf.fr/ark:/12148/bpt6k6277556w	Grimbert (-et Dorez) (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6279482n.xml	Godet, Philippe (1850-1922)	1890	Histoire littéraire de la Suisse française / par Philippe Godet	http://gallica.bnf.fr/ark:/12148/bpt6k6279482n	Fischbacher (Paris)
